feature,importance
worst perimeter,0.13310023764997225
worst area,0.12805191271303082
worst concave points,0.10810734174768957
mean concave points,0.09441439125880831
worst radius,0.09063889139731521
mean radius,0.05866225824281181
mean perimeter,0.05524182553576135
mean area,0.04993761882368043
mean concavity,0.046206958685895416
worst concavity,0.035357137857065034
area error,0.03436764533032062
mean compactness,0.018093599420845832
worst texture,0.017869409154311344
worst compactness,0.014481404082817341
mean texture,0.014316720485671626
worst smoothness,0.014026029454676415
radius error,0.013453901378078557
worst symmetry,0.00957014324545949
perimeter error,0.008138185252323333
concavity error,0.007136480491296973
worst fractal dimension,0.006387059942831735
mean smoothness,0.006168015863936496
texture error,0.005440575684338219
mean symmetry,0.005004099420072717
compactness error,0.00463015365826522
symmetry error,0.0046107135539965585
mean fractal dimension,0.0044651900731284165
fractal dimension error,0.004365792783656445
smoothness error,0.0041052060665348455
concave points error,0.0036511007454073747
